Latitude,Longitude,Common Name,FEATUREITEM_ID,City Feature,Address,Website,Location
47.67688,-122.30493,Ravenna-Eckstein Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=488,"(47.67688, -122.30493)"
47.578767,-122.301472,Cheasty Greenspace,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=489,"(47.578767, -122.301472)"
47.685266,-122.299308,Dahl (Waldo J.) Playfield,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=499,"(47.685266, -122.299308)"
47.566844,-122.387164,Dakota Place Park,,Parks,4304 SW DAKOTA ST,http://www.seattle.gov/parks/park_detail.asp?ID=575,"(47.566844, -122.387164)"
47.594089,-122.314377,Sturgus Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=592,"(47.594089, -122.314377)"
47.531156,-122.319694,Duwamish Waterway Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=705,"(47.531156, -122.319694)"
47.65129,-122.409139,Arapahoe Triangle,,Parks,3431 ARAPAHOE PLACE W,http://www.seattle.gov/parks/park_detail.asp?ID=1556,"(47.65129, -122.409139)"
47.551071,-122.308342,Maple School Ravine,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=1630,"(47.551071, -122.308342)"
47.690119,-122.374794,Baker Park On Crown Hill,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=2840,"(47.690119, -122.374794)"
47.568517,-122.409993,Andover Place,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=2927,"(47.568517, -122.409993)"
47.573457,-122.417387,Charles Richey Sr Viewpoint,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=80,"(47.573457, -122.417387)"
47.568067,-122.311441,Jefferson Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=114,"(47.568067, -122.311441)"
47.541492,-122.39309,Pelly Place Natural Area,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=237,"(47.541492, -122.39309)"
47.710823,-122.37241,Carkeek Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=240,"(47.710823, -122.37241)"
47.72021,-122.298462,Albert Davis Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=244,"(47.72021, -122.298462)"
47.668902,-122.361032,Greenwood Triangle,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=245,"(47.668902, -122.361032)"
47.69471,-122.390258,North Beach Park,,Parks,24TH AVE NW/NW 90TH ST,http://www.seattle.gov/parks/park_detail.asp?ID=247,"(47.69471, -122.390258)"
47.684034,-122.400938,Sunset Hill Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=252,"(47.684034, -122.400938)"
47.66833,-122.384495,Bergen Place,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=253,"(47.66833, -122.384495)"
47.511157,-122.267366,Kubota Gardens Natural Area,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=262,"(47.511157, -122.267366)"
47.530167,-122.363435,Longfellow Creek Greenspace,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=267,"(47.530167, -122.363435)"
47.563782,-122.403424,Me-Kwa-Mooks Natural Area,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=268,"(47.563782, -122.403424)"
